Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-10-31,13573.7105031536,13461.3835155182,13667.7472267308,13134.4800757725
BTC,2020-11-01,13891.2168331626,13574.9272175126,14093.0529474286,13438.9353824936
BTC,2020-11-02,13730.1973109361,13810.6419810949,13907.3129511633,13641.5403361361
BTC,2020-11-03,13633.6982168925,13768.9567647471,13837.8511820722,13270.2073365724
BTC,2020-11-04,13832.9384097683,13565.1306758904,13842.4745440347,13301.6119508358
BTC,2020-11-05,14163.9768155039,14014.7348817962,14257.5297066562,13582.4022020307
BTC,2020-11-06,15424.527676687,14156.6086373512,15494.5781747216,14104.9020894105
BTC,2020-11-07,15540.5965908122,15607.5054966298,15971.6414160533,15202.7645070968
BTC,2020-11-08,14783.9816785334,15603.2585399726,15764.1046995842,14330.6818321216
BTC,2020-11-09,15500.3342547421,14820.4364683332,15657.1290415238,14711.5481916284
BTC,2020-11-10,15283.7801387338,15481.90607704,15810.7737858324,14845.7917621777
BTC,2020-11-11,15374.0443857602,15327.5883894758,15448.4127535465,15092.389798398
BTC,2020-11-12,15820.4952410758,15316.7490120132,15973.0760779871,15294.2933232501
BTC,2020-11-13,16253.3102719418,15701.8651040755,16348.4627957539,15474.7610848607
BTC,2020-11-14,16347.0449203531,16302.8428022629,16487.4881476243,15971.1427991995
BTC,2020-11-15,15991.833024404,16329.7988908906,16333.5131389819,15718.8887882143
BTC,2020-11-16,15918.0801281116,16078.9700118578,16167.3969220473,15792.7790777436
BTC,2020-11-17,16752.0029899638,15969.5160057601,16885.5801948686,15881.7038454383
BTC,2020-11-18,17593.4864149334,16718.599655511,17831.2311843388,16560.9996274263
BTC,2020-11-19,17834.6365337098,17672.6528364115,18358.9762512732,17283.4948533778
BTC,2020-11-20,17954.8580090953,17786.2125755205,18170.8302741776,17381.2362634077
BTC,2020-11-21,18612.870672181,17823.3433048082,18813.4076918441,17762.9288222253
BTC,2020-11-22,18591.8566047532,18666.5802245562,18964.6435144085,18368.2899589986
BTC,2020-11-23,18629.995537256,18683.8472010104,18732.9913156418,17806.2675986902
BTC,2020-11-24,18469.2004694785,18405.5557000806,18752.160039632,17990.1108860579
BTC,2020-11-25,19045.7364656531,18370.2196087254,19392.9086751275,18059.2654337777
BTC,2020-11-26,18746.9348067039,19136.0829674867,19391.4636603479,18640.6421794386
BTC,2020-11-27,17187.4062763281,18719.207158875,18908.6355321966,16242.7029385894
BTC,2020-11-28,17023.9614000906,17180.7187297796,17482.2001046051,16489.3026655507
BTC,2020-11-29,17814.7802784355,17159.1094973637,17901.3826229953,16906.1761036597
BTC,2020-11-30,18114.4143492772,17742.8230386514,18356.3132272691,17545.1962165085
BTC,2020-12-01,19382.3605858664,18201.2772477534,19850.1144867831,18201.2772477534
BTC,2020-12-02,18980.9774501247,19677.9898439462,19920.5342631125,18171.7505114654
BTC,2020-12-03,19184.8978477411,18796.748641923,19357.1645864629,18360.2317184814
BTC,2020-12-04,19464.5317045601,19220.5901486291,19607.8553439685,18899.4886854844
BTC,2020-12-05,18813.1247602864,19441.558803722,19539.8623502689,18717.1249252498
BTC,2020-12-06,19045.0202725986,18668.1585497632,19200.7919144938,18518.8514200355
BTC,2020-12-07,19113.9333950879,19162.264456097,19347.6249102199,18927.2995560835
BTC,2020-12-08,19107.5997953098,19373.4452349264,19433.0974949195,18931.5712971542
BTC,2020-12-09,18682.4578332067,19177.9261726507,19299.047083554,18630.7424805256
BTC,2020-12-10,18543.0070492215,18320.2331279773,18618.9601329047,17640.5620740623
BTC,2020-12-11,18359.4766003421,18557.4529087425,18565.2161669202,17904.0689862574
BTC,2020-12-12,18137.3193746116,18255.7737538125,18293.5527323749,17593.1720985212
BTC,2020-12-13,18882.2601710641,18040.1706203685,18956.3444440705,18029.1431656364
BTC,2020-12-14,19060.2769012786,18822.5099387013,19408.6746531608,18726.8470852308
BTC,2020-12-15,19251.2240047093,19161.1384661758,19323.1653148993,19015.6859696958
BTC,2020-12-16,19443.4763528278,19264.6703009515,19552.3719782745,19053.3424717506
BTC,2020-12-17,21310.6562622307,19433.1413677812,21447.5238524765,19293.2989610969
BTC,2020-12-18,22895.9762375501,21351.2548089696,23770.8465691182,21248.365334993
BTC,2020-12-19,23008.7762567449,22819.558895542,23261.2528803313,22357.6076472517
BTC,2020-12-20,23890.8226488694,23126.6067653983,24122.6732679864,22781.8767814725
BTC,2020-12-21,23537.3698908908,23829.2848041264,24273.0415046035,23085.9547695747
BTC,2020-12-22,23177.2709979948,23476.0874997189,24081.0530944132,21960.1913477373
BTC,2020-12-23,23433.9807581397,22729.6592907496,23629.4044602146,22384.1278462375
BTC,2020-12-24,23224.4541378534,23791.5652944679,24086.9506606215,22644.5610583725
BTC,2020-12-25,23623.8855332302,23228.9090871597,23737.7571494804,22716.1741673963
BTC,2020-12-26,24581.0061712681,23726.1909988895,24627.297913983,23422.3103250376
BTC,2020-12-27,26381.2962329223,24708.2067842365,26750.8799540068,24497.4108688388
BTC,2020-12-28,26389.2902649448,26447.7080723867,28352.6278235304,25759.0686089471
BTC,2020-12-29,26718.0294634041,26226.0661304597,27447.5513835111,26046.6255781142
BTC,2020-12-30,26975.7295645207,27038.7356756303,27169.2255580213,25875.0497857974
BTC,2020-12-31,28768.8362075267,27349.3272325944,28928.2143914654,27349.2832043642
